Unnamed: 0,source,target,relation,sent,pdf
0,tetracycline,allergy,treat,"With penicillin [D] allergy [/D] [C] tetracycline [/C] can be used , 1 - 2 g / day for 5 days , erythromycin or chloramphenicol 8 - 10 mg / kg 4 times / day for 15 days .",Arenas_Tropical_Dermatology.pdf
1,erythromycin,allergy,treat,"With penicillin [D] allergy [/D] tetracycline can be used , 1 - 2 g / day for 5 days , [C] erythromycin [/C] or chloramphenicol 8 - 10 mg / kg 4 times / day for 15 days .",Arenas_Tropical_Dermatology.pdf
2,chloramphenicol,allergy,treat,"With penicillin [D] allergy [/D] tetracycline can be used , 1 - 2 g / day for 5 days , erythromycin or [C] chloramphenicol [/C] 8 - 10 mg / kg 4 times / day for 15 days .",Arenas_Tropical_Dermatology.pdf
3,penicillin,allergy,treat,"With [C] penicillin [/C] [D] allergy [/D] tetracycline can be used , 1 - 2 g / day for 5 days , erythromycin or chloramphenicol 8 - 10 mg / kg 4 times / day for 15 days .",Arenas_Tropical_Dermatology.pdf
4,nits,lice,treat,"To confirm the diagnosis , meticulous examination of the clothing will reveal [D] lice [/D] and [C] nits [/C] .",Arenas_Tropical_Dermatology.pdf
5,eosin,inflammation,side_effect,Hematoxylin and [C] eosin [/C] staining can demonstrate microfilariae in the dermis and hypodermis with the usual markers of [D] inflammation [/D] ( Fig .,Arenas_Tropical_Dermatology.pdf
6,alcohol,pain,treat,"With severe [D] pain [/D] , nerve blocks , [C] alcohol [/C] instillation of the nerve may be performed .",Arenas_Tropical_Dermatology.pdf
7,AZT,myopathy,side_effect,"[C] AZT [/C] can cause bone marrow suppression , nausea , headaches , insomnia , fatigue and [D] myopathy [/D] .",Arenas_Tropical_Dermatology.pdf
8,AZT,bone marrow suppression,side_effect,"[C] AZT [/C] can cause [D] bone marrow suppression [/D] , nausea , headaches , insomnia , fatigue and myopathy .",Arenas_Tropical_Dermatology.pdf
9,AZT,headaches,side_effect,"[C] AZT [/C] can cause bone marrow suppression , nausea , [D] headaches [/D] , insomnia , fatigue and myopathy .",Arenas_Tropical_Dermatology.pdf
10,AZT,insomnia,side_effect,"[C] AZT [/C] can cause bone marrow suppression , nausea , headaches , [D] insomnia [/D] , fatigue and myopathy .",Arenas_Tropical_Dermatology.pdf
11,AZT,nausea,side_effect,"[C] AZT [/C] can cause bone marrow suppression , [D] nausea [/D] , headaches , insomnia , fatigue and myopathy .",Arenas_Tropical_Dermatology.pdf
12,AZT,fatigue,side_effect,"[C] AZT [/C] can cause bone marrow suppression , nausea , headaches , insomnia , [D] fatigue [/D] and myopathy .",Arenas_Tropical_Dermatology.pdf
13,calcium hydroxide,pellagra,treat,"The low frequency of [D] pellagra [/D] in Mesoamerica may be due , to corn processing with [C] calcium hydroxide [/C] before it is consumed in the form of “ tortillas . ” This process promotes the liberation of niacin from certain conjugated forms .",Arenas_Tropical_Dermatology.pdf
14,niacin,pellagra,treat,"The low frequency of [D] pellagra [/D] in Mesoamerica may be due , to corn processing with calcium hydroxide before it is consumed in the form of “ tortillas . ” This process promotes the liberation of [C] niacin [/C] from certain conjugated forms .",Arenas_Tropical_Dermatology.pdf
15,Burow ’ s solution,eczema,treat,"Medications used to improve the [D] eczema [/D] and maceration are substitution of bath soaps , rinsing with astringent solutions such as [C] Burow ’ s solution [/C] 2 - 3 times a day and the use of a topical corticosteroid .",Arenas_Tropical_Dermatology.pdf
16,Coelenterates,dermatitis,side_effect,"In the Mediterranean area , cases of [D] dermatitis [/D] caused by contact with [C] Coelenterates [/C] used to be attributed to jellyfish and the like .",Arenas_Tropical_Dermatology.pdf
17,retinoic acid,skin irritation,side_effect,"Similarly , patients who use [C] retinoic acid [/C] or isotretinoin and expose themselves to the sun , develop erythema and severe [D] skin irritation [/D] .",Arenas_Tropical_Dermatology.pdf
18,isotretinoin,skin irritation,side_effect,"Similarly , patients who use retinoic acid or [C] isotretinoin [/C] and expose themselves to the sun , develop erythema and severe [D] skin irritation [/D] .",Arenas_Tropical_Dermatology.pdf
19,retinoic acid,erythema,side_effect,"Similarly , patients who use [C] retinoic acid [/C] or isotretinoin and expose themselves to the sun , develop [D] erythema [/D] and severe skin irritation .",Arenas_Tropical_Dermatology.pdf
20,isotretinoin,erythema,side_effect,"Similarly , patients who use retinoic acid or [C] isotretinoin [/C] and expose themselves to the sun , develop [D] erythema [/D] and severe skin irritation .",Arenas_Tropical_Dermatology.pdf
21,petrolatum,dryness of the skin,treat,"Isotretinoin causes [D] dryness of the skin [/D] , lips and ocular and nasal mucosae that can be improved with moisturizing creams , lip protecters , artificial tears and [C] petrolatum [/C] , respectively .",Arenas_Tropical_Dermatology.pdf
22,Isotretinoin,dryness of the skin,treat,"[C] Isotretinoin [/C] causes [D] dryness of the skin [/D] , lips and ocular and nasal mucosae that can be improved with moisturizing creams , lip protecters , artificial tears and petrolatum , respectively .",Arenas_Tropical_Dermatology.pdf
23,isotretinoin,dryness of the skin,side_effect,Most topical agents and systemic [C] isotretinoin [/C] produce [D] dryness of the skin [/D] that may be exacerbated by the detergent effect of the soaps .,Arenas_Tropical_Dermatology.pdf
